Song_name,Album_name
Un Paarvayil - Male,Amman Kovil Kizhakale (Original Motion Picture Soundtrack)
Mandram Vandha,Mouna Ragam (Original Motion Picture Soundtrack)
Chinna Chinna Vanna Kuyil,Mouna Ragam (Original Motion Picture Soundtrack)
Nilaave Vaa,Mouna Ragam (Original Motion Picture Soundtrack)
Raja Raja Chozhan,Rettai Vaal Kuruvi (Original Motion Picture Soundtrack)
Ilaya Nila Pozhigirathe,Payanangal Mudivathillai (Original Motion Picture Soundtrack)
Poovoma Oorgolam,Chinna Thambi (Original Motion Picture Soundtrack)
Thooliyile Ada Vantha - Male Version,Chinna Thambi (Original Motion Picture Soundtrack)
Thooliyile Ada Vantha - Female Version,Chinna Thambi (Original Motion Picture Soundtrack)
Poove Sem Poove - Male,Solla Thudikuthu Manasu (Original Motion Picture Soundtrack)
Kanne Kalaimaane,Moondram Pirai (Original Motion Picture Soundtrack)
Naan Erikarai,Chinna Thayee
Indha Maan,Karakattakkaran (Original Motion Picture Soundtrack)
Kudagu Malai,Karakattakkaran (Original Motion Picture Soundtrack)
Maanguyilae - Duet,Karakattakkaran (Original Motion Picture Soundtrack)
Mundhi Mundhi,Karakattakkaran (Original Motion Picture Soundtrack)
Nandhavanathil,Karakattakkaran (Original Motion Picture Soundtrack)
Madura Marikkozhunthu,Enga Ooru Pattukaran (Original Motion Picture Soundtrack)
Shenbagame Shenbagame - Duet Version,Enga Ooru Pattukaran (Original Motion Picture Soundtrack)
Oru Koottin Kiligal Thaan,Anbu Kattalai (Original Motion Picture Soundtrack)
Thaana Vantha,Ooru Vittu Ooru Vandhu (Original Motion Picture Soundtrack)
"Thalattum Katre Vaa (From ""Poovellam Un Vaasam"" )",Hits of Shankar Mahadevan
Poongatru Thirumbuma,Muthal Mariyathai (Original Motion Picture Soundtrack)
"Muthumani Maalai (From ""Chinna Gounder"")",Best Hits of Ilaiyaraja Vol-1
Oru Kili Uruguthu,Aanandha Kummi (Original Motion Picture Soundtrack)
Oru Naalum,Ejjaman (Original Motion Picture Soundtrack)
Adi Aathadi,Kadalora Kavithaigal (Original Motion Picture Soundtrack)
